id,sheet,topic,subject,question,answer
DATE-78,Dates and penalties,VAT,Penalties: daily penalty if over 30 days,"For VAT, what penalties apply for daily penalty if over 30 days?",VAT due x 4% x n-30/365
DATE-79,Dates and penalties,VAT,Penalties: daily interest,"For VAT, what penalties apply for daily interest?",Overdue VAT x 7.75% x n/12 or n/365
DATE-80,Dates and penalties,VAT,Penalties: errors,"For VAT, what penalties apply for errors?",Common penalty regime
DATE-81,Dates and penalties,IHT,Lifetime transfers: 6 Apr - 30 Sept,"For IHT, what are the rules or key conditions for Lifetime transfers: 6 Apr - 30 Sept?",30 April after end of tax year
DATE-82,Dates and penalties,IHT,Lifetime transfers: 1 Oct - 5 April,"For IHT, what are the rules or key conditions for Lifetime transfers: 1 Oct - 5 April?",6 months from end of month of transfer
DATE-83,Dates and penalties,IHT,Death tax: lifetime gifts,"For IHT, what are the rules or key conditions for Death tax: lifetime gifts?",6 months from end of month of death
DATE-84,Dates and penalties,IHT,Death tax: death estate,"For IHT, what are the rules or key conditions for Death tax: death estate?",6 months from end of month of death or on delivery of account by PR if earlier
DATE-85,Dates and penalties,Admin,Residency rules - automatic overseas,"For Admin, what are the rules or key conditions for Residency rules - automatic overseas?",Fewer than 16 days in the UK during tax year
DATE-86,Dates and penalties,,Residency rules - automatic overseas,"For , what are the rules or key conditions for Residency rules - automatic overseas?",Fewer than 46 days in UK during tax year and not resident during previous 3 tax years
DATE-87,Dates and penalties,,Residency rules - automatic overseas,"For , what are the rules or key conditions for Residency rules - automatic overseas?",Fewer than 91 days in UK during tax year and work full time overseas
DATE-88,Dates and penalties,,Residency rules - automatic UK,"For , what are the rules or key conditions for Residency rules - automatic UK?",183 days or more in UK during tax year
DATE-89,Dates and penalties,,Residency rules - automatic UK,"For , what are the rules or key conditions for Residency rules - automatic UK?",Only home in UK
DATE-90,Dates and penalties,,Residency rules - automatic UK,"For , what are the rules or key conditions for Residency rules - automatic UK?",Full time work in UK during tax year
DATE-91,Dates and penalties,,Residency rules - sufficient ties,"Under the statutory residence test, what are the 'sufficient ties' that affect UK residency?",Spouse or child in UK
DATE-92,Dates and penalties,,Residency rules - sufficient ties,"Under the statutory residence test, what are the 'sufficient ties' that affect UK residency?",Accommodation in UK and spent at least one night there
DATE-93,Dates and penalties,,Residency rules - sufficient ties,"Under the statutory residence test, what are the 'sufficient ties' that affect UK residency?",At least 40 days working 3 hours a day in the UK
DATE-94,Dates and penalties,,Residency rules - sufficient ties,"Under the statutory residence test, what are the 'sufficient ties' that affect UK residency?",Being in UK for more than 90 days during either of the two previous tax years
DATE-95,Dates and penalties,,Residency rules - sufficient ties,"Under the statutory residence test, what are the 'sufficient ties' that affect UK residency?","If previously UK resident in last three tax years, spending more time in the UK than anywhere else"
